rouge_scores,bleu_score,meteor_score,bertscore_precision,bertscore_recall,bertscore_f1
"{'rouge-1': {'r': 0.0202991452991453, 'p': 0.16101694915254236, 'f': 0.036053128941378215}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.019230769230769232, 'p': 0.15254237288135594, 'f': 0.0341555957345471}}",2.2899244786586948e-05,0.04057174862950943,0.6449252963066101,0.6152575016021729,0.6297421455383301
"{'rouge-1': {'r': 0.0057070386810399495, 'p': 0.34615384615384615, 'f': 0.011228945407632064}, 'rouge-2': {'r': 0.000363901018922853, 'p': 0.03333333333333333, 'f': 0.0007199421909574002}, 'rouge-l': {'r': 0.0057070386810399495, 'p': 0.34615384615384615, 'f': 0.011228945407632064}}",4.728252790653051e-37,0.0052866008944652074,0.7061532139778137,0.5782246589660645,0.6358178853988647
"{'rouge-1': {'r': 0.031724137931034485, 'p': 0.1796875, 'f': 0.05392731280674111}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.028965517241379312, 'p': 0.1640625, 'f': 0.04923798103651838}}",5.603107584375821e-81,0.04764783635225703,0.6475178003311157,0.6124110817909241,0.6294752955436707
"{'rouge-1': {'r': 0.02972972972972973, 'p': 0.13253012048192772, 'f': 0.0485651184197576}, 'rouge-2': {'r': 0.00468384074941452, 'p': 0.021739130434782608, 'f': 0.007707126177584347}, 'rouge-l': {'r': 0.02702702702702703, 'p': 0.12048192771084337, 'f': 0.04415010738223003}}",0.002612004273516485,0.08216213446812401,0.6677592992782593,0.6050939559936523,0.6348840594291687
"{'rouge-1': {'r': 0.025896414342629483, 'p': 0.16883116883116883, 'f': 0.04490500632953619}, 'rouge-2': {'r': 0.0016025641025641025, 'p': 0.012195121951219513, 'f': 0.002832859136660959}, 'rouge-l': {'r': 0.02390438247011952, 'p': 0.15584415584415584, 'f': 0.04145077489603015}}",4.228353497345548e-81,0.05551571015720371,0.7393258213996887,0.6742532849311829,0.7052918076515198
"{'rouge-1': {'r': 0.11139896373056994, 'p': 0.5443037974683544, 'f': 0.1849462337385594}, 'rouge-2': {'r': 0.05818965517241379, 'p': 0.3253012048192771, 'f': 0.09872028993031633}, 'rouge-l': {'r': 0.11139896373056994, 'p': 0.5443037974683544, 'f': 0.1849462337385594}}",0.0026691945621955277,0.0951931846654014,0.6573153734207153,0.6173470616340637,0.6367045640945435
"{'rouge-1': {'r': 0.08536585365853659, 'p': 0.5568181818181818, 'f': 0.14803625147123525}, 'rouge-2': {'r': 0.038781163434903045, 'p': 0.3010752688172043, 'f': 0.06871165441993306}, 'rouge-l': {'r': 0.08536585365853659, 'p': 0.5568181818181818, 'f': 0.14803625147123525}}",0.0004638075355594211,0.08171429176159686,0.7127224206924438,0.6646470427513123,0.687845766544342
"{'rouge-1': {'r': 0.06340057636887608, 'p': 0.12290502793296089, 'f': 0.08365018562412377}, 'rouge-2': {'r': 0.002257336343115124, 'p': 0.004329004329004329, 'f': 0.0029673545451291885}, 'rouge-l': {'r': 0.06340057636887608, 'p': 0.12290502793296089, 'f': 0.08365018562412377}}",0.01838500861616829,0.12536795023280783,0.6455146074295044,0.6125851273536682,0.6286188960075378
"{'rouge-1': {'r': 0.029585798816568046, 'p': 0.4838709677419355, 'f': 0.05576208069837344}, 'rouge-2': {'r': 0.014354066985645933, 'p': 0.28125, 'f': 0.02731411136734053}, 'rouge-l': {'r': 0.029585798816568046, 'p': 0.4838709677419355, 'f': 0.05576208069837344}}",3.3667548466487684e-10,0.022333723588113953,0.7243553400039673,0.6084275245666504,0.6613496541976929
"{'rouge-1': {'r': 0.01486988847583643, 'p': 0.34782608695652173, 'f': 0.028520498322387153}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.013011152416356878, 'p': 0.30434782608695654, 'f': 0.02495543593379536}}",2.3201164211603e-168,0.014974332633144037,0.7032150030136108,0.5966641306877136,0.6455726027488708
